,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,1.4074683307902887,0.6333333333333333,2023-10-04 12:31:32.189248,2023-10-04 12:57:22.916009,0 days 00:25:50.726761,50,xavier,5,7.756983343103515e-05,0.0017055418029547835,0,COMPLETE
1,1,2.185670520881083,0.5094343156843157,2023-10-04 12:57:22.918504,2023-10-04 13:18:40.026636,0 days 00:21:17.108132,45,xavier,2,8.025117130139581e-05,0.002498901558834595,0,COMPLETE
2,2,0.6603630010504276,0.65,2023-10-04 13:18:40.030119,2023-10-04 13:43:47.199672,0 days 00:25:07.169553,55,kaiming,5,2.9031746159753427e-05,0.002796710275477125,0,COMPLETE
3,3,4.2940890116539325,0.7166666666666667,2023-10-04 13:43:47.207563,2023-10-04 14:03:41.127435,0 days 00:19:53.919872,45,kaiming,5,0.0003078905904798025,0.006496522367380929,0,COMPLETE
4,4,0.9247137667877332,0.4800000000000001,2023-10-04 14:03:41.131827,2023-10-04 14:20:32.569633,0 days 00:16:51.437806,35,kaiming,4,2.9987012829741616e-05,0.00034081964885732173,0,COMPLETE
5,5,6.907351970692616,0.55,2023-10-04 14:20:32.572347,2023-10-04 15:01:23.346642,0 days 00:40:50.774295,55,kaiming,5,0.0005618628079159029,0.001628931112865895,0,COMPLETE
6,6,1.1276576418429614,0.7,2023-10-04 15:01:23.467492,2023-10-04 15:18:46.417599,0 days 00:17:22.950107,30,kaiming,5,2.3908207388030162e-05,0.0005309161885858447,0,COMPLETE
7,7,0.9575226717761586,0.4777267573696145,2023-10-04 15:18:46.420770,2023-10-04 15:30:55.645957,0 days 00:12:09.225187,20,xavier,3,2.4925198299231286e-05,0.00031548643574718873,0,COMPLETE
8,8,0.9229696169495583,0.5833333333333333,2023-10-04 15:30:55.648439,2023-10-04 15:48:55.864200,0 days 00:18:00.215761,25,kaiming,5,1.1742386920351268e-05,0.00012605882254308583,0,COMPLETE
9,9,0.6464105543281351,0.6812528344671203,2023-10-04 15:48:55.869595,2023-10-04 15:58:03.404226,0 days 00:09:07.534631,20,kaiming,3,1.160792132534292e-05,0.0023147972321540533,0,COMPLETE
10,10,2.700652394420376,0.25,2023-10-04 15:58:03.407005,2023-10-04 16:08:03.947443,0 days 00:10:00.540438,20,xavier,5,0.00039854361953811656,0.0005159460380460043,0,COMPLETE
11,11,2.0928700436191776,0.4666666666666666,2023-10-04 16:08:03.950380,2023-10-04 16:28:09.931578,0 days 00:20:05.981198,40,kaiming,5,0.00017908195110697078,0.00034787918884659504,0,COMPLETE
12,12,5.732810580795091,0.49000000000000005,2023-10-04 16:28:09.935920,2023-10-04 16:35:03.580690,0 days 00:06:53.644770,15,xavier,4,0.0005520394925888489,0.0037679154735216513,0,COMPLETE
13,13,1.094383082676817,0.5522383145177263,2023-10-04 16:35:03.586363,2023-10-04 17:02:24.149868,0 days 00:27:20.563505,55,kaiming,2,2.467179349224917e-05,0.003955268925142164,0,COMPLETE
14,14,1.225465577781304,0.38593954248366014,2023-10-04 17:02:24.153090,2023-10-04 17:15:00.364391,0 days 00:12:36.211301,25,kaiming,2,5.490779643815036e-05,0.0009761604547455254,0,COMPLETE
15,15,0.7342763817972606,0.4970710335416218,2023-10-04 17:15:00.367330,2023-10-04 17:22:44.393422,0 days 00:07:44.026092,15,kaiming,2,1.439749256907687e-05,0.00024588196761306773,0,COMPLETE
16,16,1.3629655368557132,0.46844254510921174,2023-10-04 17:22:44.396636,2023-10-04 17:25:14.400942,0 days 00:02:30.004306,5,xavier,2,8.278590129938037e-05,0.00048511658243463097,0,COMPLETE
17,17,0.894694097340107,0.6333333333333333,2023-10-04 17:25:14.404407,2023-10-04 17:40:42.825669,0 days 00:15:28.421262,30,xavier,5,6.15419687405192e-05,0.0019194405497254584,0,COMPLETE
18,18,2.690947860414826,0.5666666666666667,2023-10-04 17:40:42.829314,2023-10-04 17:43:16.844204,0 days 00:02:34.014890,5,kaiming,5,0.0005643420122479468,0.0007392899359134408,0,COMPLETE
19,19,1.2046745361294597,0.3333333333333333,2023-10-04 17:43:16.846971,2023-10-04 17:51:10.062486,0 days 00:07:53.215515,15,kaiming,5,4.2361629268544915e-05,0.0016713669821718745,0,COMPLETE
20,20,1.0282780250212658,0.6175505050505051,2023-10-04 17:51:10.065345,2023-10-04 18:17:33.462277,0 days 00:26:23.396932,50,xavier,2,1.3759676014151267e-05,0.003151991071439625,0,COMPLETE
21,21,4.769336094204364,0.4875,2023-10-04 18:17:33.465247,2023-10-04 18:24:59.420362,0 days 00:07:25.955115,15,xavier,3,0.0005755204654760927,0.0003739035734435423,0,COMPLETE
22,22,0.8901278160788395,0.543300557467224,2023-10-04 18:24:59.424108,2023-10-04 18:37:20.941168,0 days 00:12:21.517060,20,kaiming,2,1.7165994995213587e-05,0.0030343061368623236,0,COMPLETE
23,23,1.1924218650109002,0.41666666666666663,2023-10-04 18:37:20.945100,2023-10-04 18:43:18.952959,0 days 00:05:58.007859,10,kaiming,4,5.106919329191321e-05,0.0005077695592260432,0,COMPLETE
24,24,0.92398460741554,0.5,2023-10-04 18:43:18.956100,2023-10-04 18:49:04.440203,0 days 00:05:45.484103,10,kaiming,4,1.0806277773722783e-05,0.0009807645517068144,0,COMPLETE
25,25,1.9965300589267696,0.6266666666666667,2023-10-04 18:49:04.443770,2023-10-04 19:06:57.888397,0 days 00:17:53.444627,30,kaiming,4,7.563678909592054e-05,0.003370929974199209,0,COMPLETE
26,26,5.372573061369271,0.5,2023-10-04 19:06:57.891449,2023-10-04 19:20:25.843844,0 days 00:13:27.952395,20,xavier,2,0.0005225458073791873,0.006750909760326444,0,COMPLETE
27,27,1.0102893828281334,0.3966666666666666,2023-10-04 19:20:25.849368,2023-10-04 19:48:21.242907,0 days 00:27:55.393539,45,kaiming,4,3.193693514904901e-05,0.00048296779885184725,0,COMPLETE
28,28,3.622354052657569,0.6266666666666667,2023-10-04 19:48:21.245953,2023-10-04 20:06:11.502336,0 days 00:17:50.256383,30,kaiming,4,0.00015141969357094926,0.0020564771840995816,0,COMPLETE
29,29,4.227716912271455,0.518015318015318,2023-10-04 20:06:11.505657,2023-10-04 20:11:09.238914,0 days 00:04:57.733257,10,xavier,2,0.00018999824252825717,0.000555262574539825,0,COMPLETE
30,30,4.769297320531443,0.49715909090909094,2023-10-04 20:11:09.241571,2023-10-04 20:36:48.812344,0 days 00:25:39.570773,55,xavier,3,0.00022318797367628027,0.0024939405536152904,0,COMPLETE
31,31,5.098257139778759,0.5,2023-10-04 20:36:48.815190,2023-10-04 21:04:49.630543,0 days 00:28:00.815353,60,kaiming,3,0.00024335945877135298,0.0029438243879293126,0,COMPLETE
32,32,0.7903480678796768,0.5666666666666667,2023-10-04 21:04:49.633204,2023-10-04 21:15:35.214644,0 days 00:10:45.581440,25,xavier,4,2.4754932835120276e-05,0.0003080938019287428,0,COMPLETE
33,33,2.717385365104487,0.48999999999999994,2023-10-04 21:15:35.217548,2023-10-04 21:32:56.589442,0 days 00:17:21.371894,40,kaiming,4,0.00010992437533630567,0.006786251294044068,0,COMPLETE
34,34,2.1633443085085937,0.5499999999999999,2023-10-04 21:32:56.593922,2023-10-04 21:46:05.326497,0 days 00:13:08.732575,30,xavier,4,0.0002472513665668183,0.0002380811832552451,0,COMPLETE
35,35,1.3963954277685844,0.5,2023-10-04 21:46:05.329170,2023-10-04 22:07:56.922391,0 days 00:21:51.593221,45,kaiming,5,8.62253171693055e-05,0.00013725342542279201,0,COMPLETE
36,36,0.5748293817043304,0.7,2023-10-04 22:07:56.925720,2023-10-04 22:22:42.867952,0 days 00:14:45.942232,30,xavier,5,1.1935401995024835e-05,0.00036416936499233997,0,COMPLETE
37,37,1.2823972479307224,0.4133333333333333,2023-10-04 22:22:42.870819,2023-10-04 22:44:16.973089,0 days 00:21:34.102270,50,xavier,4,3.5027997512900245e-05,0.0006215810086304727,0,COMPLETE
38,38,2.0309624874630203,0.5080884828678947,2023-10-04 22:44:16.975767,2023-10-04 23:09:34.363302,0 days 00:25:17.387535,55,xavier,2,4.887138695816922e-05,0.0005727605686497398,0,COMPLETE
39,39,4.0834558518193775,0.5052075702075702,2023-10-04 23:09:34.366593,2023-10-04 23:27:59.873581,0 days 00:18:25.506988,40,kaiming,2,0.00010059254213327516,0.0005528757168425545,0,COMPLETE
40,40,1.5561517770402133,0.6166666666666666,2023-10-04 23:27:59.877230,2023-10-04 23:55:19.423153,0 days 00:27:19.545923,60,xavier,5,5.6386574571688674e-05,0.0007921782749878397,0,COMPLETE
41,41,3.0979281148624067,0.29999999999999993,2023-10-04 23:55:19.426109,2023-10-05 00:17:26.967102,0 days 00:22:07.540993,50,kaiming,5,0.000171512819560701,0.0005690522489778454,0,COMPLETE
42,42,1.1830460057421415,0.516965811965812,2023-10-05 00:17:26.969316,2023-10-05 00:34:52.669945,0 days 00:17:25.700629,40,kaiming,2,2.7363932521931824e-05,0.003063467287903117,0,COMPLETE
43,43,1.5624728308904365,0.5841136933242197,2023-10-05 00:34:52.672931,2023-10-05 01:00:57.283766,0 days 00:26:04.610835,60,kaiming,2,3.32099174032435e-05,0.001078098404494367,0,COMPLETE
44,44,0.8155157774686813,0.21666666666666665,2023-10-05 01:00:57.289145,2023-10-05 01:07:17.164487,0 days 00:06:19.875342,15,xavier,5,1.4757891457099025e-05,0.003385092252430027,0,COMPLETE
45,45,0.7496519160590001,0.6344387755102041,2023-10-05 01:07:17.171766,2023-10-05 01:14:32.777126,0 days 00:07:15.605360,20,xavier,3,1.3840372924128387e-05,0.0002436535934717878,0,COMPLETE
46,46,4.4352190806919225,0.3833333333333333,2023-10-05 01:14:32.779775,2023-10-05 01:33:37.453227,0 days 00:19:04.673452,45,xavier,5,0.000248874384433753,0.0021889252962985603,0,COMPLETE
47,47,5.653532171274401,0.5094047619047619,2023-10-05 01:33:37.455657,2023-10-05 01:41:25.661655,0 days 00:07:48.205998,20,kaiming,3,0.0003342944801380899,0.0028625480948500513,0,COMPLETE
48,48,1.886323358733398,0.5333333333333333,2023-10-05 01:41:25.664183,2023-10-05 01:58:18.963465,0 days 00:16:53.299282,40,xavier,5,0.00018596605454214673,0.001671006174957121,0,COMPLETE
