,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,0.7185054063796997,0.4833333333333333,2023-10-03 14:09:54.406578,2023-10-03 14:32:34.393374,0 days 00:22:39.986796,30,kaiming,5,2.4249032252322433e-05,0.0011274010676897062,0,COMPLETE
1,1,0.704688179067203,0.48999999999999994,2023-10-03 14:32:34.401592,2023-10-03 14:38:50.273644,0 days 00:06:15.872052,10,xavier,4,6.995338080999056e-05,0.0025992146439904333,0,COMPLETE
2,2,1.2534694930642014,0.6101304543409806,2023-10-03 14:38:50.284383,2023-10-03 14:46:37.519603,0 days 00:07:47.235220,10,xavier,2,9.772324858181435e-05,0.005843930659756905,0,COMPLETE
3,3,1.5761718352990488,0.6637074829931973,2023-10-03 14:46:37.531585,2023-10-03 14:58:28.869074,0 days 00:11:51.337489,15,kaiming,3,0.00018421038302120714,0.009238789642625164,0,COMPLETE
4,4,5.916324713348871,0.5185897435897436,2023-10-03 14:58:28.873562,2023-10-03 15:26:22.023335,0 days 00:27:53.149773,25,xavier,0,0.0003572666350770524,0.0014487284364824906,0,COMPLETE
5,5,6.022655191335632,0.5039529914529914,2023-10-03 15:26:22.032739,2023-10-03 16:34:23.065533,0 days 01:08:01.032794,60,kaiming,0,0.0003058239869541281,0.0011666864439792883,0,COMPLETE
6,6,5.672579609846144,0.510989010989011,2023-10-03 16:34:23.071988,2023-10-03 17:04:28.039779,0 days 00:30:04.967791,35,xavier,2,0.00035552246294578966,0.004896248026713214,0,COMPLETE
7,7,5.451351975740668,0.5238881987577639,2023-10-03 17:04:28.043161,2023-10-03 18:02:55.714422,0 days 00:58:27.671261,60,kaiming,1,0.00031669500699069316,0.003355591755946776,0,COMPLETE
8,8,2.3938573491476873,0.6866666666666668,2023-10-03 18:02:55.721648,2023-10-03 18:27:25.536588,0 days 00:24:29.814940,35,xavier,4,0.0001882535789616404,0.00015743355694882789,0,COMPLETE
9,9,0.9738816700875759,0.5166666666666667,2023-10-03 18:27:25.540789,2023-10-03 18:44:29.800711,0 days 00:17:04.259922,20,kaiming,5,0.00010555268139184641,0.004273288080325943,0,COMPLETE
10,10,1.6725005167070777,0.7166666666666667,2023-10-03 18:44:29.815491,2023-10-03 19:20:53.534451,0 days 00:36:23.718960,50,xavier,4,0.00010945668167770113,0.00021464972362355048,0,COMPLETE
11,11,1.992143730207928,0.6078231292517007,2023-10-03 19:20:53.541092,2023-10-03 19:52:32.153830,0 days 00:31:38.612738,40,kaiming,3,0.00015852433976245835,0.006964058250627295,0,COMPLETE
12,12,5.75211293088468,0.5292832167832168,2023-10-03 19:52:32.156693,2023-10-03 20:18:39.643555,0 days 00:26:07.486862,30,kaiming,2,0.0005610037171672027,0.009130719156870274,0,COMPLETE
13,13,2.0854562950885986,0.427891156462585,2023-10-03 20:18:39.651547,2023-10-03 20:29:43.012368,0 days 00:11:03.360821,15,xavier,3,0.00024598292156464757,0.0015402121096483557,0,COMPLETE
14,14,1.6827718656975776,0.41666666666666663,2023-10-03 20:29:43.016798,2023-10-03 20:56:59.884879,0 days 00:27:16.868081,30,kaiming,5,0.00016039884571865634,0.009387705080551048,0,COMPLETE
15,15,2.4393026220163945,0.6805069754167206,2023-10-03 20:56:59.895453,2023-10-03 22:27:57.914997,0 days 01:30:58.019544,60,xavier,0,9.81165998082028e-05,0.005938989448779826,0,COMPLETE
16,16,5.922451513246505,0.4666666666666666,2023-10-03 22:27:57.925574,2023-10-03 23:07:55.455633,0 days 00:39:57.530059,40,kaiming,5,0.0007563171489167629,0.008668013815784349,0,COMPLETE
17,17,3.951733544582045,0.6100594574507618,2023-10-03 23:07:55.458901,2023-10-04 00:21:05.964776,0 days 01:13:10.505875,50,xavier,1,0.0002205048471773952,0.0020904254715412803,0,COMPLETE
18,18,5.336171732058225,0.5078482660379212,2023-10-04 00:21:05.971831,2023-10-04 01:30:06.460967,0 days 01:09:00.489136,40,xavier,0,0.00045178766659758246,0.002010141637566724,0,COMPLETE
19,19,2.8535229731347904,0.6215409590409591,2023-10-04 01:30:06.465622,2023-10-04 01:58:13.173273,0 days 00:28:06.707651,20,kaiming,2,0.00023987234516098386,0.00014181349047139204,0,COMPLETE
20,20,4.232277102831475,0.6020323986802248,2023-10-04 01:58:13.188038,2023-10-04 02:39:54.835534,0 days 00:41:41.647496,20,xavier,0,0.0001905339893560573,0.00011883878793199786,0,COMPLETE
21,21,3.595957844544178,0.6943079908469729,2023-10-04 02:39:54.843641,2023-10-04 03:22:34.356980,0 days 00:42:39.513339,30,xavier,1,0.0001863395800031892,0.00010783225057399415,0,COMPLETE
22,22,0.6088114723563194,0.5,2023-10-04 03:22:34.414250,2023-10-04 04:00:59.164772,0 days 00:38:24.750522,30,kaiming,5,1.0771697312857305e-05,0.0034352683325243106,0,COMPLETE
23,23,1.6792765554621922,0.6921330234878622,2023-10-04 04:00:59.169110,2023-10-04 04:18:45.005648,0 days 00:17:45.836538,10,kaiming,1,8.742015881779863e-05,0.0028178012730987836,0,COMPLETE
24,24,3.7261929352085574,0.7077202245829696,2023-10-04 04:18:45.019936,2023-10-04 04:56:54.931694,0 days 00:38:09.911758,30,kaiming,2,0.00016420708452450738,0.0014739028416914113,0,COMPLETE
25,25,5.692914987445584,0.5035214785214785,2023-10-04 04:56:54.935062,2023-10-04 05:19:42.073900,0 days 00:22:47.138838,20,kaiming,2,0.0005922379764786406,0.0024043647093868205,0,COMPLETE
26,26,5.662063909221375,0.5089005677303786,2023-10-04 05:19:42.075815,2023-10-04 06:06:04.879812,0 days 00:46:22.803997,55,xavier,1,0.00032166086028355005,0.0002402083107834265,0,COMPLETE
27,27,2.467827000946896,0.5517176870748299,2023-10-04 06:06:04.883141,2023-10-04 06:08:58.605382,0 days 00:02:53.722241,5,xavier,3,0.0005723075591083613,0.0003194880588205084,0,COMPLETE
28,28,2.1861823375619287,0.5910714285714286,2023-10-04 06:08:58.608517,2023-10-04 06:42:54.097268,0 days 00:33:55.488751,40,xavier,3,0.00014540331091463993,0.006770265081914014,0,COMPLETE
29,29,3.236793747595139,0.66786163183222,2023-10-04 06:42:54.110754,2023-10-04 07:16:58.210719,0 days 00:34:04.099965,30,kaiming,2,0.0002789652097800035,0.0022866857802251064,0,COMPLETE
30,30,2.290549285637353,0.6281070699984118,2023-10-04 07:16:58.230360,2023-10-04 07:52:55.753881,0 days 00:35:57.523521,25,xavier,0,2.574518000438416e-05,0.00012742723103206804,0,COMPLETE
31,31,4.3416820431638525,0.6136638698095873,2023-10-04 07:52:55.757427,2023-10-04 08:20:24.817583,0 days 00:27:29.060156,30,xavier,1,0.00024327491250125137,0.0004035418509194134,0,COMPLETE
32,32,5.798645595292792,0.5262175324675324,2023-10-04 08:20:24.820787,2023-10-04 09:12:20.427596,0 days 00:51:55.606809,60,xavier,2,0.0009321658268944145,0.00013799827592261902,0,COMPLETE
33,33,0.8424858900036529,0.7703030303030303,2023-10-04 09:12:20.432047,2023-10-04 09:54:55.504834,0 days 00:42:35.072787,55,kaiming,3,5.619160590561777e-05,0.008611142553708276,0,COMPLETE
34,34,0.8497139571766767,0.49812925170068034,2023-10-04 09:54:55.508391,2023-10-04 10:15:04.620203,0 days 00:20:09.111812,25,kaiming,3,4.4205667846661336e-05,0.003691010607296906,0,COMPLETE
35,35,1.5612232499800585,0.5667303375636709,2023-10-04 10:15:04.633318,2023-10-04 10:58:01.167711,0 days 00:42:56.534393,50,xavier,2,2.6947060228820732e-05,0.0005416030142270256,0,COMPLETE
36,36,1.3118372375095664,0.6491496598639456,2023-10-04 10:58:01.174400,2023-10-04 11:29:52.507587,0 days 00:31:51.333187,40,kaiming,3,0.00010621153065482339,0.0004925800084935841,0,COMPLETE
37,37,5.656277211592458,0.5227272727272727,2023-10-04 11:29:52.517782,2023-10-04 11:46:35.572666,0 days 00:16:43.054884,20,kaiming,2,0.0009074745472397528,0.00021932176314181547,0,COMPLETE
38,38,2.323048752347573,0.449858276643991,2023-10-04 11:46:35.575830,2023-10-04 11:58:40.316646,0 days 00:12:04.740816,15,kaiming,3,0.0002702435990735724,0.0016690015321836873,0,COMPLETE
39,39,0.8537746084587914,0.5166666666666666,2023-10-04 11:58:40.319994,2023-10-04 12:19:01.700334,0 days 00:20:21.380340,25,kaiming,4,6.141992910495499e-05,0.009542782293468855,0,COMPLETE
40,40,1.1297915141941801,0.718597745015504,2023-10-04 12:19:01.704720,2023-10-04 12:34:25.479901,0 days 00:15:23.775181,15,kaiming,1,5.319676423222625e-05,0.0034303396255773535,0,COMPLETE
41,41,0.6907341235450336,0.6625,2023-10-04 12:34:25.484054,2023-10-04 13:01:52.540777,0 days 00:27:27.056723,35,kaiming,3,1.0855699100739238e-05,0.006837596594849559,0,COMPLETE
42,42,0.7578237727836326,0.5232873851294904,2023-10-04 13:01:52.545032,2023-10-04 13:10:06.249363,0 days 00:08:13.704331,10,kaiming,2,1.9727765684056715e-05,0.009540836850467745,0,COMPLETE
43,43,1.072362163288844,0.6732828658930607,2023-10-04 13:10:06.256532,2023-10-04 13:34:35.752412,0 days 00:24:29.495880,25,xavier,1,2.9053041693579525e-05,0.008952437141128646,0,COMPLETE
44,44,4.873640950029357,0.4,2023-10-04 13:34:35.755340,2023-10-04 13:56:20.768209,0 days 00:21:45.012869,25,xavier,5,0.0006279880485802348,0.000930618440740601,0,COMPLETE
45,45,5.833528964440192,0.5007902298850575,2023-10-04 13:56:20.773724,2023-10-04 14:01:44.889463,0 days 00:05:24.115739,5,kaiming,0,0.0006257713051295741,0.0002613852532980748,0,COMPLETE
46,46,1.5631438917687315,0.5839877815365822,2023-10-04 14:01:44.893612,2023-10-04 14:21:01.542577,0 days 00:19:16.648965,15,xavier,0,1.3749968571545787e-05,0.00031979402558999343,0,COMPLETE
47,47,0.6590449884533882,0.4333333333333333,2023-10-04 14:21:01.545837,2023-10-04 14:54:29.966360,0 days 00:33:28.420523,40,kaiming,5,2.617300283871753e-05,0.002277224510593973,0,COMPLETE
48,48,0.7590639289468527,0.6244444444444445,2023-10-04 14:54:29.969239,2023-10-04 15:22:23.761029,0 days 00:27:53.791790,35,kaiming,3,2.01671934103313e-05,0.0005927340200630452,0,COMPLETE
49,49,1.066987754814686,0.6763335806286005,2023-10-04 15:22:23.764091,2023-10-04 15:51:02.233756,0 days 00:28:38.469665,30,xavier,1,1.1275295713677657e-05,0.0010573056983950676,0,COMPLETE
50,50,2.471849465006276,0.6377986695366381,2023-10-04 15:51:02.236481,2023-10-04 16:32:29.074409,0 days 00:41:26.837928,35,xavier,0,6.325017862823256e-05,0.00031979402558999343,1,COMPLETE
51,51,1.7052598721796781,0.6866666666666666,2023-10-04 16:32:29.078467,2023-10-04 17:07:39.755202,0 days 00:35:10.676735,40,kaiming,4,0.00015852433976245835,0.008591216676114342,1,COMPLETE
