,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,0.9576607967721819,0.9022656284287909,2023-10-06 11:49:19.005149,2023-10-06 13:05:09.250844,0 days 01:15:50.245695,25,kaiming,1,4.436591738895636e-05,0.0005785079754957487,0,COMPLETE
1,1,0.6315935543039813,0.7666666666666666,2023-10-06 13:05:09.256846,2023-10-06 13:35:34.478160,0 days 00:30:25.221314,10,kaiming,5,1.1921429400117151e-05,0.0012594362282988692,0,COMPLETE
2,2,0.929831368227555,0.7305132725263306,2023-10-06 13:35:34.486456,2023-10-06 15:49:05.157194,0 days 02:13:30.670738,45,kaiming,1,0.00012397016520018333,0.0019251610362094466,0,COMPLETE
3,3,4.647738891979576,0.3616666666666667,2023-10-06 15:49:05.170429,2023-10-06 18:46:11.897723,0 days 02:57:06.727294,55,xavier,4,0.000643815341131798,0.008604014819736423,0,COMPLETE
4,4,0.2737872601253912,0.95,2023-10-06 18:46:11.914665,2023-10-06 21:24:25.517730,0 days 02:38:13.603065,55,xavier,5,8.39188625840146e-05,0.00199119121724486,0,COMPLETE
5,5,0.5497474847960152,0.8666666666666668,2023-10-06 21:24:25.530591,2023-10-06 22:52:47.983645,0 days 01:28:22.453054,35,xavier,4,9.135832172131234e-05,0.0002642316058875947,0,COMPLETE
6,6,0.525339268902878,0.9666666666666666,2023-10-06 22:52:47.998542,2023-10-07 01:03:54.922862,0 days 02:11:06.924320,55,xavier,4,0.00017292317194802636,0.0008450554173013605,0,COMPLETE
7,7,0.42965542285570074,0.9233333333333332,2023-10-07 01:03:54.931006,2023-10-07 01:41:40.126804,0 days 00:37:45.195798,20,xavier,4,6.854435827590882e-05,0.00010823836065257108,0,COMPLETE
8,8,0.4431956078936629,0.9325701893067382,2023-10-07 01:41:40.131621,2023-10-07 01:52:03.930835,0 days 00:10:23.799214,5,xavier,0,2.7404175815186693e-05,0.00024178882019347658,0,COMPLETE
9,9,1.0298829427163583,0.8,2023-10-07 01:52:03.936308,2023-10-07 02:21:27.955900,0 days 00:29:24.019592,15,kaiming,5,2.382477532137416e-05,0.00029946138286281496,0,COMPLETE
10,10,0.6336692648800116,0.8428571428571429,2023-10-07 02:21:27.964472,2023-10-07 03:06:42.322827,0 days 00:45:14.358355,25,kaiming,3,2.0379832081060462e-05,0.0016834803211074375,0,COMPLETE
11,11,0.7887574567459523,0.8,2023-10-07 03:06:42.328731,2023-10-07 04:10:51.590641,0 days 01:04:09.261910,35,xavier,5,1.8066515166434254e-05,0.001062001100161503,0,COMPLETE
12,12,1.111770387105311,0.6666666666666666,2023-10-07 04:10:51.602382,2023-10-07 05:24:47.310527,0 days 01:13:55.708145,40,kaiming,4,0.00012570537498355998,0.0014666207692974596,0,COMPLETE
13,13,0.6247920934663203,0.9441666666666666,2023-10-07 05:24:47.316592,2023-10-07 06:54:10.032646,0 days 01:29:22.716054,50,kaiming,3,8.928055297599445e-05,0.00038035922376816294,0,COMPLETE
14,14,0.9725930469707237,0.9333333333333332,2023-10-07 06:54:10.043111,2023-10-07 07:12:31.029378,0 days 00:18:20.986267,10,xavier,5,3.1414900702416454e-05,0.0003020480928048539,0,COMPLETE
15,15,4.905031159579352,0.5585848294388857,2023-10-07 07:12:31.035384,2023-10-07 07:23:48.254576,0 days 00:11:17.219192,5,xavier,0,0.0005634374067086854,0.0022974933647355333,0,COMPLETE
16,16,0.9780187255702912,0.7,2023-10-07 07:23:48.262878,2023-10-07 08:09:42.629763,0 days 00:45:54.366885,25,kaiming,5,1.85138609163677e-05,0.0004233709503753184,0,COMPLETE
17,17,3.5922299401968587,0.5651922565392726,2023-10-07 08:09:42.637067,2023-10-07 09:57:29.978287,0 days 01:47:47.341220,50,kaiming,0,0.00026158840157383277,0.0005010641879414012,0,COMPLETE
18,18,0.35974303943575514,0.9360263010855683,2023-10-07 09:57:30.006577,2023-10-07 10:16:36.084261,0 days 00:19:06.077684,10,xavier,1,2.43672085486571e-05,0.0013292644769844594,0,COMPLETE
19,19,3.150084760448096,0.5700680272108843,2023-10-07 10:16:36.090397,2023-10-07 11:00:23.160445,0 days 00:43:47.070048,25,kaiming,3,0.00042421871308321056,0.008420764351968878,0,COMPLETE
20,20,0.9220581796762417,0.9548290598290599,2023-10-07 11:00:23.170305,2023-10-07 12:49:37.532563,0 days 01:49:14.362258,60,xavier,2,1.595946116978039e-05,0.0011164037631548602,0,COMPLETE
21,21,0.4269325559235897,0.9216159330865213,2023-10-07 12:49:37.539898,2023-10-07 13:07:27.497309,0 days 00:17:49.957411,10,kaiming,2,2.846541759303082e-05,0.0006964366990841528,0,COMPLETE
