,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,0.5344920425966848,1.0,2023-10-06 11:44:20.625931,2023-10-06 11:53:36.400761,0 days 00:09:15.774830,25,xavier,5,0.00012019647518985578,0.00010356723470225415,0,COMPLETE
1,1,0.4240707626832383,0.9433333333333334,2023-10-06 11:53:36.403281,2023-10-06 12:00:20.556446,0 days 00:06:44.153165,20,xavier,4,2.2794803242415194e-05,0.00029052171107832287,0,COMPLETE
2,2,0.43791438080370426,0.9166666666666666,2023-10-06 12:00:20.559275,2023-10-06 12:09:05.550462,0 days 00:08:44.991187,25,xavier,4,1.8062954146895256e-05,0.0007702904845186655,0,COMPLETE
3,3,1.7883716715596065,0.8759881825282593,2023-10-06 12:09:05.553347,2023-10-06 12:26:02.427652,0 days 00:16:56.874305,45,xavier,1,0.0006665407425725342,0.008817314531997914,0,COMPLETE
4,4,1.1226633875075744,1.0,2023-10-06 12:26:02.430651,2023-10-06 12:31:00.929706,0 days 00:04:58.499055,15,xavier,4,0.0005586288900453707,0.0008553478789170129,0,COMPLETE
5,5,0.4081978874268576,0.9833333333333332,2023-10-06 12:31:00.932453,2023-10-06 12:36:04.762868,0 days 00:05:03.830415,15,kaiming,4,0.0001344982677582207,0.009272414151541246,0,COMPLETE
6,6,2.984744057962911,0.7500516273624072,2023-10-06 12:36:04.765711,2023-10-06 12:59:00.891669,0 days 00:22:56.125958,55,xavier,0,0.0008176717212764677,0.00019152921275941793,0,COMPLETE
7,7,0.6202395275235176,0.7905555555555555,2023-10-06 12:59:00.895461,2023-10-06 13:00:42.118622,0 days 00:01:41.223161,5,kaiming,3,1.8192749194383033e-05,0.008038694782417857,0,COMPLETE
8,8,0.3616717515646347,0.9666666666666668,2023-10-06 13:00:42.121646,2023-10-06 13:05:37.910451,0 days 00:04:55.788805,15,xavier,4,0.00011310156039601254,0.00014403396089665815,0,COMPLETE
9,9,0.9035776647987014,0.9584183673469389,2023-10-06 13:05:37.913364,2023-10-06 13:13:49.984772,0 days 00:08:12.071408,25,xavier,3,0.0004274257705930643,0.002224861797589601,0,COMPLETE
10,10,0.4345919209149997,0.971130690038253,2023-10-06 13:13:49.988094,2023-10-06 13:17:06.923575,0 days 00:03:16.935481,10,xavier,2,0.00018046981022387727,0.0001195597551431321,0,COMPLETE
11,11,0.3898651477459615,0.9623607397504456,2023-10-06 13:17:06.926033,2023-10-06 13:33:02.167184,0 days 00:15:55.241151,45,xavier,2,3.191250097479961e-05,0.0010174680908546013,0,COMPLETE
12,12,0.976437662211587,0.9440540800531748,2023-10-06 13:33:02.170555,2023-10-06 13:45:20.637148,0 days 00:12:18.466593,30,kaiming,0,0.0003579003774413361,0.00031897587438330707,0,COMPLETE
13,13,0.26643714463072166,0.9666666666666666,2023-10-06 13:45:20.639431,2023-10-06 13:55:30.400483,0 days 00:10:09.761052,30,xavier,4,3.260153159061411e-05,0.0007375809356100737,0,COMPLETE
14,14,0.39773200069155007,0.9333333333333332,2023-10-06 13:55:30.402801,2023-10-06 14:00:32.329485,0 days 00:05:01.926684,15,xavier,4,4.9813828469837274e-05,0.003093229392466959,0,COMPLETE
15,15,0.3919036238541594,0.9,2023-10-06 14:00:32.332556,2023-10-06 14:24:35.213628,0 days 00:24:02.881072,60,xavier,5,5.289704105785769e-05,0.0002511685062547442,0,COMPLETE
16,16,0.694411551952362,0.55,2023-10-06 14:24:35.217095,2023-10-06 14:26:57.118339,0 days 00:02:21.901244,5,kaiming,5,9.754011332470688e-05,0.0008527979625235084,0,COMPLETE
17,17,1.998320883568996,0.8709317349872071,2023-10-06 14:26:57.121994,2023-10-06 14:31:41.635090,0 days 00:04:44.513096,10,kaiming,1,0.0008028947109499315,0.0006181678544253831,0,COMPLETE
18,18,0.5664946942457131,0.9833333333333332,2023-10-06 14:31:41.638716,2023-10-06 14:34:02.769740,0 days 00:02:21.131024,5,xavier,4,0.0001242061204493064,0.001229092766336332,0,COMPLETE
19,19,0.7856094404550957,0.9560265630521594,2023-10-06 14:34:02.773999,2023-10-06 14:53:06.510661,0 days 00:19:03.736662,35,xavier,0,3.782244352160569e-05,0.0002592147754584496,0,COMPLETE
20,20,0.27820127454164584,0.9763186813186813,2023-10-06 14:53:06.515259,2023-10-06 15:05:21.794723,0 days 00:12:15.279464,25,xavier,2,4.245307275364723e-05,0.0054293212229231105,0,COMPLETE
21,21,2.203631015054559,0.8266380459729593,2023-10-06 15:05:21.799467,2023-10-06 15:21:35.949071,0 days 00:16:14.149604,30,kaiming,0,0.0008738922816395297,0.000648041182053703,0,COMPLETE
22,22,0.40765707528717676,0.9627721648111454,2023-10-06 15:21:35.952094,2023-10-06 15:26:43.065848,0 days 00:05:07.113754,10,kaiming,1,7.72506736006727e-05,0.00015836679033272012,0,COMPLETE
23,23,0.45547794985541906,0.9731459314495028,2023-10-06 15:26:43.069642,2023-10-06 15:38:26.232787,0 days 00:11:43.163145,25,xavier,2,0.000241020050524981,0.0038027678194960963,0,COMPLETE
24,24,0.3408790734197412,1.0,2023-10-06 15:38:26.237393,2023-10-06 15:42:58.716891,0 days 00:04:32.479498,10,xavier,4,0.00014338158524338532,0.0007262178346359084,0,COMPLETE
25,25,1.214369457289422,0.9,2023-10-06 15:42:58.720420,2023-10-06 16:08:08.500877,0 days 00:25:09.780457,50,kaiming,5,0.0002010123942549284,0.0032104863032045607,0,COMPLETE
26,26,0.6084781415760517,0.55,2023-10-06 16:08:08.504597,2023-10-06 16:12:55.178800,0 days 00:04:46.674203,10,kaiming,5,5.104926345125425e-05,0.00022988300652489072,0,COMPLETE
27,27,0.8867930585923508,0.9520661095302214,2023-10-06 16:12:55.181336,2023-10-06 16:42:27.678702,0 days 00:29:32.497366,55,kaiming,0,0.00021672776350178596,0.008270031325740008,0,COMPLETE
28,28,0.8550414021979511,0.9247222222222222,2023-10-06 16:42:27.682097,2023-10-06 17:02:21.923537,0 days 00:19:54.241440,45,xavier,3,0.000828325453658416,0.009159327345948097,0,COMPLETE
29,29,0.5824098567132834,0.9685083939738723,2023-10-06 17:02:21.926987,2023-10-06 17:24:09.974942,0 days 00:21:48.047955,40,kaiming,0,0.00017725785989506677,0.00025916961758553324,0,COMPLETE
30,30,0.3793111032676149,0.932020202020202,2023-10-06 17:24:09.978692,2023-10-06 17:42:00.280192,0 days 00:17:50.301500,40,xavier,3,4.655492775461816e-05,0.007011331130169854,0,COMPLETE
31,31,0.3873401315417141,0.9,2023-10-06 17:42:00.284123,2023-10-06 17:49:08.202888,0 days 00:07:07.918765,15,kaiming,5,0.00013845983798001528,0.00032734214272286017,0,COMPLETE
32,32,0.5060869646923882,0.9125,2023-10-06 17:49:08.205928,2023-10-06 17:53:03.249663,0 days 00:03:55.043735,10,xavier,3,1.0803577887247808e-05,0.0006608998403660424,0,COMPLETE
33,33,0.3262333065535672,0.9673468333989336,2023-10-06 17:53:03.252337,2023-10-06 18:03:34.812179,0 days 00:10:31.559842,20,kaiming,0,1.548754355235324e-05,0.009450896258978533,0,COMPLETE
34,34,0.6124850672319577,0.9632081727177887,2023-10-06 18:03:34.819319,2023-10-06 18:31:08.174772,0 days 00:27:33.355453,50,kaiming,0,6.0154819640465526e-05,0.0006308405689409434,0,COMPLETE
35,35,0.8671112018910273,0.9416764584621727,2023-10-06 18:31:08.182910,2023-10-06 18:55:56.572802,0 days 00:24:48.389892,55,xavier,2,7.833138139459952e-05,0.00017513486483968006,0,COMPLETE
36,36,0.287878185881313,0.9708361448493028,2023-10-06 18:55:56.575960,2023-10-06 19:14:48.708679,0 days 00:18:52.132719,40,xavier,2,2.7053884969160524e-05,0.0005684649527006181,0,COMPLETE
37,37,0.18810572397269426,0.9333333333333332,2023-10-06 19:14:48.713516,2023-10-06 19:29:57.608438,0 days 00:15:08.894922,30,xavier,5,0.0001992823160576297,0.000981183883702343,0,COMPLETE
38,38,1.3319718682925212,0.9,2023-10-06 19:29:57.612460,2023-10-06 19:48:49.515596,0 days 00:18:51.903136,40,xavier,5,0.0006679927023537489,0.0006314040090021488,0,COMPLETE
39,39,0.11037276395044111,1.0,2023-10-06 19:48:49.519913,2023-10-06 20:08:10.043794,0 days 00:19:20.523881,45,kaiming,4,7.560093368698361e-05,0.00023206545376535737,0,COMPLETE
40,40,0.8273542493329062,0.9469387755102041,2023-10-06 20:08:10.047242,2023-10-06 20:28:29.273316,0 days 00:20:19.226074,50,xavier,3,0.0003244659787125011,0.003324062647542373,0,COMPLETE
41,41,0.49632865376770496,0.8333333333333333,2023-10-06 20:28:29.282138,2023-10-06 20:36:21.071342,0 days 00:07:51.789204,15,xavier,5,5.368290757768734e-05,0.00033193425645796287,0,COMPLETE
42,42,0.4076137187236002,0.9542517006802722,2023-10-06 20:36:21.074835,2023-10-06 21:03:17.904366,0 days 00:26:56.829531,60,xavier,3,1.5446233915572642e-05,0.009335355692667188,0,COMPLETE
43,43,0.28268798645294735,1.0,2023-10-06 21:03:17.907913,2023-10-06 21:30:59.004441,0 days 00:27:41.096528,55,xavier,5,9.063138050285509e-05,0.0005710240247560019,0,COMPLETE
44,44,2.1635825966754445,0.8593163254755997,2023-10-06 21:30:59.008229,2023-10-06 21:41:33.609433,0 days 00:10:34.601204,20,kaiming,1,0.0009378052162435547,0.00013752581483632666,0,COMPLETE
45,45,0.4037046176999161,0.9833224420657484,2023-10-06 21:41:33.613025,2023-10-06 22:14:08.785858,0 days 00:32:35.172833,55,kaiming,0,0.00014197952894443193,0.001241453522693912,0,COMPLETE
46,46,0.3112034130006708,0.9586734693877551,2023-10-06 22:14:08.792145,2023-10-06 22:24:49.863324,0 days 00:10:41.071179,25,kaiming,3,3.4669869912042604e-05,0.007619689051634363,0,COMPLETE
47,47,0.6408263712496721,0.9786454830083017,2023-10-06 22:24:49.866574,2023-10-06 22:52:14.612858,0 days 00:27:24.746284,60,xavier,1,9.38160093683215e-05,0.0004955487591479441,0,COMPLETE
48,48,0.26049615156423117,0.9693367346938775,2023-10-06 22:52:14.617058,2023-10-06 23:00:30.410795,0 days 00:08:15.793737,20,xavier,3,3.0474754840218986e-05,0.0008952011404705588,0,COMPLETE
49,49,0.6872250240725797,0.9708788060678817,2023-10-06 23:00:30.413652,2023-10-06 23:26:58.883161,0 days 00:26:28.469509,60,xavier,2,0.00046674745886043597,0.003229868939754273,0,COMPLETE
50,50,0.37583570881214917,0.9722596153846155,2023-10-06 23:26:58.886336,2023-10-06 23:33:55.930171,0 days 00:06:57.043835,15,xavier,2,0.0001242061204493064,0.001229092766336332,1,COMPLETE
