,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,0.8816976482697555,0.9333333333333332,2023-10-07 10:52:55.638225,2023-10-07 11:15:58.715515,0 days 00:23:03.077290,35,xavier,5,0.0002908089337546851,0.001263012151499924,0,COMPLETE
1,1,0.2964711985625009,0.9786111111111111,2023-10-07 11:15:58.718964,2023-10-07 11:35:26.644205,0 days 00:19:27.925241,30,kaiming,3,2.6980826995281496e-05,0.0004174407178160845,0,COMPLETE
2,2,0.45590287216826775,0.9152777777777779,2023-10-07 11:35:26.648209,2023-10-07 11:44:38.462993,0 days 00:09:11.814784,15,kaiming,3,3.507949176986553e-05,0.005708005339647224,0,COMPLETE
3,3,1.1019472464656697,0.9275050484014496,2023-10-07 11:44:38.465885,2023-10-07 12:17:49.602114,0 days 00:33:11.136229,45,kaiming,0,3.717039456815874e-05,0.001225153000059988,0,COMPLETE
4,4,4.228975463445659,0.599181698485846,2023-10-07 12:17:49.605525,2023-10-07 12:46:49.148819,0 days 00:28:59.543294,45,kaiming,1,0.000428989214030012,0.0005094856255455772,0,COMPLETE
5,5,0.26677161357051127,0.9795918367346939,2023-10-07 12:46:49.152141,2023-10-07 13:13:49.320566,0 days 00:27:00.168425,45,xavier,3,7.644432938435245e-05,0.0006850037130037435,0,COMPLETE
6,6,1.3801571980118752,0.6666666666666666,2023-10-07 13:13:49.324576,2023-10-07 13:17:16.557018,0 days 00:03:27.232442,5,kaiming,5,0.00032900308526688586,0.003486599660704269,0,COMPLETE
7,7,0.5089926512213424,0.6333333333333333,2023-10-07 13:17:16.561406,2023-10-07 13:42:58.556590,0 days 00:25:41.995184,40,kaiming,5,3.330455769715518e-05,0.0001247017777741959,0,COMPLETE
8,8,0.5539924675594647,1.0,2023-10-07 13:42:58.560021,2023-10-07 14:15:41.658326,0 days 00:32:43.098305,50,xavier,5,4.620489342020281e-05,0.00016210628809875877,0,COMPLETE
9,9,0.6651360223330488,0.9590234170591314,2023-10-07 14:15:41.661208,2023-10-07 14:51:11.465650,0 days 00:35:29.804442,55,kaiming,2,7.588101587311629e-05,0.00031378073846786015,0,COMPLETE
10,10,1.2110507130362764,0.8755679090194339,2023-10-07 14:51:11.469441,2023-10-07 15:12:32.599889,0 days 00:21:21.130448,30,xavier,0,0.00018281542211647246,0.009557399757391668,0,COMPLETE
11,11,1.1275563234463335,0.6666666666666667,2023-10-07 15:12:32.603348,2023-10-07 15:35:41.750262,0 days 00:23:09.146914,35,xavier,5,0.00025730359527428376,0.0005026643867694349,0,COMPLETE
12,12,0.4151128477996281,0.9673469387755101,2023-10-07 15:35:41.754258,2023-10-07 16:05:08.633318,0 days 00:29:26.879060,45,kaiming,3,6.952194419303317e-05,0.0038670933634559505,0,COMPLETE
13,13,1.1724404680182652,0.9179046316002838,2023-10-07 16:05:08.636252,2023-10-07 16:51:40.355002,0 days 00:46:31.718750,55,kaiming,1,2.1501941520490667e-05,0.006962203001614633,0,COMPLETE
14,14,0.6881413573141408,0.95,2023-10-07 16:51:40.361955,2023-10-07 17:19:38.259388,0 days 00:27:57.897433,20,xavier,4,3.3861853627437006e-05,0.003889680614382841,0,COMPLETE
15,15,0.39307396126610655,0.9578628117913832,2023-10-07 17:19:38.263779,2023-10-07 18:05:14.485180,0 days 00:45:36.221401,35,xavier,3,1.3033470540825745e-05,0.008892586665799767,0,COMPLETE
16,16,5.455290923273784,0.5,2023-10-07 18:05:14.489302,2023-10-07 18:48:13.587238,0 days 00:42:59.097936,35,kaiming,0,0.0007000923789996609,0.007236098023345693,0,COMPLETE
17,17,0.4955768762715317,0.93,2023-10-07 18:48:13.590861,2023-10-07 20:07:10.541462,0 days 01:18:56.950601,60,kaiming,3,2.29220037824069e-05,0.007685166322188494,0,COMPLETE
18,18,0.6286948855903025,0.9680840836794049,2023-10-07 20:07:10.608974,2023-10-07 20:31:20.827478,0 days 00:24:10.218504,20,xavier,0,1.0979915722616407e-05,0.0030937237919240706,0,COMPLETE
19,19,5.2215564881325625,0.5246153846153846,2023-10-07 20:31:20.832685,2023-10-07 21:28:11.173501,0 days 00:56:50.340816,55,xavier,1,0.0007854273577516486,0.00035089525873946913,0,COMPLETE
20,20,1.239079714312876,0.7833333333333333,2023-10-07 21:28:11.177602,2023-10-07 22:08:54.042528,0 days 00:40:42.864926,35,kaiming,4,0.0004640563978357776,0.0034133012930355,0,COMPLETE
21,21,0.6654937753395643,1.0,2023-10-07 22:08:54.050062,2023-10-07 22:32:06.781039,0 days 00:23:12.730977,20,kaiming,5,2.0722589630076998e-05,0.0009513205691949071,0,COMPLETE
22,22,0.7620124403805314,0.9526574140684294,2023-10-07 22:32:06.785285,2023-10-07 22:42:22.682961,0 days 00:10:15.897676,10,xavier,0,6.76389585530119e-05,0.0001415536220129721,0,COMPLETE
23,23,0.4907469057043402,0.9654655612244898,2023-10-07 22:42:22.686763,2023-10-07 23:26:21.821423,0 days 00:43:59.134660,40,xavier,2,7.945941108706513e-05,0.00034138509767868744,0,COMPLETE
24,24,0.4765092033082641,0.9333333333333332,2023-10-07 23:26:21.826229,2023-10-07 23:59:00.524322,0 days 00:32:38.698093,35,kaiming,4,2.102683802871568e-05,0.0001123541195809081,0,COMPLETE
