id,max_level,mpp,ppm,type,exp_strategy,tumor_percentage
1ffebb3d-baed-4261-b511-1693ef6c6092,15,0.50,1994017.946161516,TS1,Tissue Slide,0
6b45b638-2560-488d-893b-b7bb1d3e7da8,14,0.50,1994017.946161516,BS1,Tissue Slide,0
67882757-9df3-4aad-ba03-57a62a70ff85,16,0.50,1994017.946161516,TS1,Tissue Slide,0
f4e430c6-948e-4e18-9145-9285513b21fa,14,0.50,1994017.946161516,BS1,Tissue Slide,0
4ee9fc2d-2ff6-4204-a77b-d7aa84a13873,15,0.25,4070004.07000407,TS1,Tissue Slide,0
0ade502a-6bfc-47d5-b3c7-696086bb5d4c,16,0.50,1994017.946161516,BS1,Tissue Slide,0
8df2fed6-80a2-4d62-ad3b-8cb8c8b46ff4,14,0.50,1994017.946161516,TS1,Tissue Slide,0
c73fab2b-5feb-454f-a619-90e06bddfcbe,15,0.50,1994017.946161516,TS1,Tissue Slide,0
8b1a16c4-3287-457b-bedd-00c3b798bf1e,15,0.50,1994017.946161516,BS1,Tissue Slide,0
e20d541b-0ec3-4c09-b2b0-1bcb2ba4f9c7,16,0.50,1994017.946161516,TS1,Tissue Slide,0
b48cd64f-8646-456c-bebb-a414bbe723e5,15,0.50,1994017.946161516,TS1,Tissue Slide,0
f2fdaa0f-7aa4-4b0a-bc1c-2a168e437d85,15,0.50,1994017.946161516,TS1,Tissue Slide,0
ab9f405e-c204-4b84-a453-1da06dfe68b9,15,0.25,3968253.9682539687,TS1,Tissue Slide,0
375f3e73-7610-44d2-8b9c-420cfc1a1783,15,0.50,1994017.946161516,TS1,Tissue Slide,0
77f9b5fe-a1ef-4df8-a65f-e59ad1659d5e,15,0.50,1994017.946161516,TS1,Tissue Slide,0
7003d557-6f5a-4d95-bb94-3541ecc1a74d,15,0.25,3968253.9682539687,TS1,Tissue Slide,0
912d45cc-812d-46c6-a764-b446ec57648a,17,0.25,3968253.9682539687,TS1,Tissue Slide,0
96db57c1-2e03-4fc4-b03b-7017ce6a28a7,15,0.50,1994017.946161516,TS1,Tissue Slide,0
d4f88d8a-bd84-4ea2-be9f-83336205a79e,15,0.50,1994017.946161516,BS1,Tissue Slide,0
76b73dec-43a1-4fe6-9351-5f8a8df9b949,15,0.50,1994017.946161516,BS1,Tissue Slide,0
2b3c9e96-1950-4ff0-a4f0-eb82c8dcd552,15,0.25,4070004.07000407,TS1,Tissue Slide,0
aaea3a3f-4f11-4fe8-b1e9-b44c451fea59,15,0.50,1994017.946161516,BS1,Tissue Slide,0
182b598d-5d4a-47ea-be1a-7cacd41d1cef,15,0.50,1994017.946161516,BS1,Tissue Slide,0
d35135e0-a3a2-446c-994e-d54ed602f2c6,15,0.50,1994017.946161516,BS1,Tissue Slide,0
a9208815-a991-44c7-9f9f-8b96e5dc1347,16,0.25,4070004.07000407,TS1,Tissue Slide,0
0e7a54f8-9aa9-4ce4-a857-d471ccba0ff5,14,0.50,1994017.946161516,TS1,Tissue Slide,0
956c1ed3-c4b7-4b7e-9b8c-aaccd6f87612,15,0.50,1994017.946161516,TS1,Tissue Slide,0
2fa81f2a-8586-440b-b3dc-8fa6ba85ce81,15,0.50,1994017.946161516,BS1,Tissue Slide,0
ee261db5-3576-4c52-90b4-4c8e16f7937e,15,0.50,1994017.946161516,TS1,Tissue Slide,0
580948da-e934-42e2-98a9-d5f06a6bdaa2,16,0.25,3968253.9682539687,TS1,Tissue Slide,0
f62b018a-7604-4978-bf92-11ff55c09b09,16,0.50,1994017.946161516,BS1,Tissue Slide,0
a2e48dce-1874-468d-a302-fd30b3107f4a,15,0.50,1994017.946161516,TS1,Tissue Slide,0
d6541821-65f1-4c0c-96b1-210021a74318,16,0.50,1994017.946161516,TS1,Tissue Slide,0
23b67789-3acb-4ad8-a95f-83b6d9c57898,15,0.50,1994017.946161516,BS1,Tissue Slide,0
7901192c-7bdc-461b-90a1-964eebc2716e,15,0.50,1994017.946161516,TS1,Tissue Slide,0
c174af34-45eb-43b4-9044-3ca4598e63a6,16,0.50,1994017.946161516,BS1,Tissue Slide,0
14583c01-95e8-441a-bbc5-2eb6cf33ca5d,15,0.50,1994017.946161516,BS1,Tissue Slide,0
56c0404a-e336-4450-b5a2-c2fe4f0728ba,15,0.50,1994017.946161516,TS1,Tissue Slide,0
332eb3f0-9893-4619-9605-48555db39b9c,17,0.25,3968253.9682539687,TS1,Tissue Slide,0
5550f535-1f9d-464e-b824-e6674abf1265,16,0.50,1994017.946161516,TS1,Tissue Slide,0
52c453eb-edd5-4c1f-b928-835a0388a725,15,0.25,4070004.07000407,TS1,Tissue Slide,0
01b1f503-d100-4733-9ff7-47c576e358ce,16,0.25,3968253.9682539687,TS1,Tissue Slide,0
75bac3cb-2cd7-4204-bc12-bab0c1ad5bfa,16,0.50,2017349.203147065,TSA,Tissue Slide,0
9cd81728-ae5d-490e-800f-da73687be45c,15,0.50,1994017.946161516,TS1,Tissue Slide,0
ba916fe4-8145-4a02-a9d1-002d2ed3e2cb,15,0.50,1994017.946161516,TS1,Tissue Slide,0
54e3a76b-f49f-4d64-be0a-51de40c47e8d,16,0.50,1994017.946161516,TS1,Tissue Slide,0
2d688c14-93b9-4e79-a9da-2dd6b078daa1,15,0.50,1994017.946161516,BS1,Tissue Slide,0
228f1a00-3407-48c1-a2a5-991f6dded825,14,0.50,1994017.946161516,TS1,Tissue Slide,0
87f45a8c-ccc8-4ec1-b47a-236e12280277,15,0.25,3968253.9682539687,TS1,Tissue Slide,0
4119138a-4fa0-47dd-80ab-88b705a24e34,15,0.50,1994017.946161516,BS1,Tissue Slide,0
067e0f4d-a99b-40a6-9ce4-29d6465ee73c,14,0.50,1994017.946161516,TS1,Tissue Slide,0
481f9ceb-6a1a-4184-9873-265d1139c0f0,14,0.50,1994017.946161516,TS1,Tissue Slide,0
091e6544-bf37-489d-adf0-e05843854b42,15,0.50,1994017.946161516,BS1,Tissue Slide,0
574735b8-4119-478a-95df-f7ee93720eb8,15,0.50,1994017.946161516,TS1,Tissue Slide,0
98325bbd-4488-4fee-8dbc-393f341ea6cd,14,0.50,1994017.946161516,TS1,Tissue Slide,0
cb72c052-aef9-451c-a25a-cd7b1384f338,15,0.50,1994017.946161516,BS1,Tissue Slide,0
b6a943b1-ddad-4679-a9dc-19b9600dd7dd,15,0.50,1994017.946161516,TS1,Tissue Slide,0
d5f77b3a-0bd1-4157-88aa-15692527aa0b,15,0.50,1994017.946161516,BS1,Tissue Slide,0
84e099ca-e33e-4ff2-8bcb-0830d44d5dce,16,0.25,4070004.07000407,TS1,Tissue Slide,0
ec03198a-0bd9-4a05-8c43-e569eea4dcc7,15,0.50,1994017.946161516,TS1,Tissue Slide,0
fba8ae3f-02d0-4ef4-a935-aa2aab46f203,16,0.50,1994017.946161516,BS1,Tissue Slide,0
89b975bb-1cc0-4eb1-9108-990bb2b13c28,15,0.50,1994017.946161516,TS1,Tissue Slide,0
fe155d4c-f8e3-47fc-86b5-2b360cc26e0a,15,0.25,3968253.9682539687,TS1,Tissue Slide,0
d033905f-ad5f-4717-8a04-aa65330b903c,15,0.50,1994017.946161516,BS1,Tissue Slide,0
c7e7d0cd-973a-4af6-94b2-0d51508209e2,15,0.50,1994017.946161516,BS1,Tissue Slide,0
4f4ee197-4b5d-4fc9-a625-56b45fe0959b,15,0.50,2017349.203147065,TS1,Tissue Slide,0
1318db68-f222-44e7-b3c9-4d515e94ede5,16,0.50,1994017.946161516,TS1,Tissue Slide,0
7a575513-6fb6-4492-afea-d169f9393122,15,0.50,1994017.946161516,BS1,Tissue Slide,0
6a1add0d-dcdc-4cf4-917c-a4a39f50df0a,15,0.50,1994017.946161516,BS1,Tissue Slide,0
8d438e4e-0c9f-4ac1-a13c-b3eab0617760,15,0.50,1994017.946161516,TS1,Tissue Slide,0
0db9baa5-5573-4e74-bd5e-3eff6fc2b24a,15,0.25,3968253.9682539687,TS1,Tissue Slide,0
acc91a4f-b141-453a-bb77-0032a95e66a5,13,0.50,1994017.946161516,BS1,Tissue Slide,0
f5ed2e11-2eb7-4f73-b262-c212064289c7,15,0.50,1994017.946161516,TS1,Tissue Slide,0
cb6159d8-0c28-40cf-89a0-4e76b3636e08,15,0.50,1994017.946161516,BS1,Tissue Slide,0
5e0fd288-6670-4c36-9f33-372bd1586e83,15,0.25,4070004.07000407,TS1,Tissue Slide,0
cd1c02b3-8aac-4d68-b1fd-a85355b3eeaa,16,0.50,1994017.946161516,TS1,Tissue Slide,0
4863703c-b922-4c91-859d-44f22da59567,15,0.50,1994017.946161516,BS1,Tissue Slide,0
8f96c2ee-1559-4ce2-a012-31dced286964,14,0.50,1994017.946161516,BS1,Tissue Slide,0
330e00db-f9da-45ed-81ad-461e0e5b63da,16,0.50,1994017.946161516,TS1,Tissue Slide,0
11d7a549-bec3-4a03-9c1b-39ba26b64b27,15,0.50,1994017.946161516,BS1,Tissue Slide,0
26670321-56f4-4e78-bfaf-ad842409c5a2,16,0.25,3968253.9682539687,TS1,Tissue Slide,0
