id,max_level,mpp,ppm,type
76312b70-ba23-4460-b2b3-e3880c50a616,16,0.50,2017349.203147065,TSB
425f65d2-a66b-4ee7-9b5b-257deb27a957,16,0.50,2017349.203147065,TSB
a30eb555-7366-4137-b78a-b5b841c4a869,16,0.50,2017349.203147065,TSC
1fc9aa78-01f6-4175-b8ae-f5e43877e63a,16,0.50,2003606.491685033,TS2
2b683539-e4a2-4823-8d3b-db6f5a7db86b,16,0.50,2017349.203147065,TS2
b165c7ef-958f-4b70-9014-f209331ca9df,16,0.50,2017349.203147065,TS3
6f99b15d-5f18-42d4-92f5-f94e0dd7fbd2,16,0.50,2017349.203147065,TSB
7d185e17-98fc-4b10-ac43-201b23517d77,16,0.49,2021427.1275520518,TSB
530dfb7b-5577-4df6-9e5c-04489dceb0d6,16,0.50,2014098.6908358512,TSB
0bb48dda-153f-4892-bb02-0675f824c2a4,16,0.50,2017349.203147065,TSC
ce1ed917-5147-4f24-8ca6-5169026dc477,16,0.50,2017349.203147065,TSA
a4843e4b-fc9f-4079-bbd6-92266623ad28,16,0.49,2029632.636492795,TSB
ac1d0bf4-113a-4a43-8885-15f06a2cb55c,17,0.49,2024291.4979757087,BSA
135e8974-dfd7-4e17-a667-2981de631417,16,0.50,2017349.203147065,BS2
14dfd8b7-596a-43af-a88a-1d07273e6911,16,0.50,2003606.491685033,TS3
31257c1d-b924-46f4-89ea-8fe15176d274,17,0.50,2017349.203147065,TS7
21f3bcd5-62d6-488a-8e53-323015d65dc1,16,0.50,2017349.203147065,TS6
31053d2f-3e83-4dda-9765-120a29c99004,16,0.49,2029632.636492795,TSD
9100c364-3fec-4e76-9957-0bd7eb49a820,17,0.50,2003606.491685033,TSB
f2cdb05f-78d8-449d-bffd-0bd128f4188b,16,0.50,2014098.6908358512,TSA
80c16057-0ac0-4a30-927a-364e54a3cab9,17,0.50,2014098.6908358512,TSB
53ff4bcf-be16-4ba0-ae4e-b07e3cdce532,16,0.50,2003606.491685033,TSA
2b6ec763-a89d-4bf6-b182-5c2ef62e708b,17,0.25,4024144.869215292,BSA
349f289e-4781-4ee2-83bd-f1be488a669e,18,0.25,4024144.869215292,TSA
bc31d00a-58de-4438-8a12-70ba518d9b52,17,0.49,2024291.4979757087,TSC
a27091d1-e10c-4939-8ae5-a6321ff5ab47,16,0.49,2024291.4979757087,TSB
b297208f-c01e-4010-acb8-c18b15a27709,16,0.50,2003606.491685033,TS3
a5d52f80-d753-4e71-a1fe-db7dd21976ed,15,0.50,2014098.6908358512,TSA
70248959-f84d-4ca8-8060-1b17c64b5932,16,0.50,2003606.491685033,TSF
df4137d7-2b21-429b-90b8-9205dcc25e07,17,0.50,2003606.491685033,TS4
2dd46103-2126-473f-9615-131c80d2122d,16,0.50,2017349.203147065,TSA
703760dc-b50b-4f3f-a110-70e34dc0b46a,16,0.50,2003606.491685033,TSB
d7d4a39c-3400-45c0-beb3-8df0c7bcd584,16,0.50,2003606.491685033,TSC
433d5fe0-c567-4d02-bf8c-462a820956bd,17,0.50,2003606.491685033,TSE
d5333aab-72c6-414e-84bc-a9552ea83e4e,17,0.50,2017349.203147065,TS5
812f3d1a-6ff7-4cd8-9f8a-dd77b9bdfb96,17,0.50,2017349.203147065,TS6
d116e6bc-7a3c-40a9-8b36-a9a3159806fb,16,0.50,2017349.203147065,TSB
70423e52-dc96-4694-964a-5735607a5209,16,0.50,2014098.6908358512,TSE
602a9da2-84e7-4cb1-82fc-8ce1f35c0662,16,0.50,2017349.203147065,TS2
fa8b93ce-851d-4b52-9403-650792677232,16,0.50,2003606.491685033,TSB
be3ebf54-d234-4b1f-a358-6debfce07ee7,16,0.49,2024291.4979757087,TSB
3a864ee1-df64-4d13-b87f-628b96d01b09,17,0.50,1984520.738241715,TS4
800e49d1-0c4d-466b-9695-d54eb4ef99d7,16,0.49,2029632.636492795,TSA
57f969ac-a191-4c17-8ecc-f93e652ee392,16,0.49,2029632.636492795,TSC
48701aba-2783-497e-b51b-f05f0714a608,16,0.50,1984520.738241715,TS2
14a2ce9f-dd52-4d7c-a488-6d02b2617466,17,0.50,2003606.491685033,TSB
28cd6b2d-c717-4b6b-a802-abc09225753d,16,0.50,2014098.6908358512,TSD
e9dccd24-dd16-452d-9c89-c42fbf0eb2c8,16,0.49,2029632.636492795,TSA
89288e83-cff5-4b7e-9ed3-53dac741c7a1,15,0.49,2029632.636492795,TS1
2d382bd9-e488-464b-8e2c-da05b8da0c34,16,0.50,2017349.203147065,TSB
01b437e9-eba9-49cd-bad9-422fd67a28d6,16,0.50,2017349.203147065,TSA
211bd9fc-0cdb-4e66-b62c-38e839337841,16,0.50,2017349.203147065,TS3
8e323813-d93c-4c33-85b1-78a0137f5c8b,16,0.50,1984126.9841269844,TS1
23653118-3aeb-4fa4-9e54-a9b35d2ac9dd,17,0.50,2017349.203147065,TS4
d9bbf456-76eb-4cd9-bdab-dedaee779d2f,16,0.50,1984126.9841269844,TS2
c9c725eb-c15b-4679-9ea6-4e3c5f9e3ac4,16,0.50,2017349.203147065,BS4
6bce3e0b-da5a-49bf-bd66-cd398a08a43d,16,0.50,2017349.203147065,BSB
8172a303-4196-47d8-9f94-099197192abc,16,0.50,2017349.203147065,TSB
b0b7de0c-f12e-448a-aa27-7c9377058d93,17,0.50,2003606.491685033,TS2
c607f39b-563b-4155-aa0a-9478568b5417,16,0.49,2029632.636492795,TSD
0bd7331b-4b13-41f8-9216-7929eb6c8de7,16,0.50,2003606.491685033,TSA
463b70e3-adba-4205-8583-9326b1343ed7,16,0.50,2003606.491685033,TSB
6709d504-215f-473f-8520-81ba0d0b8b96,16,0.49,2029632.636492795,TSB
7a2fc2ef-1c9e-4108-be67-3ea69cb988e7,17,0.49,2029632.636492795,TSI
b9f34ab5-0250-41ab-9756-33d919a12532,16,0.49,2029632.636492795,BSA
848aaf0c-e119-4cd6-b97f-d6a989ce9932,16,0.50,2003606.491685033,TSB
1a8e958e-4caf-4d34-b2d1-b5c1c851163e,16,0.50,2003606.491685033,TS1
c889068d-db1c-4a83-9316-f46a5095b28b,16,0.50,2014098.6908358512,TSB
a8d9b63f-f3b6-4fe0-bdee-c6086b73dabe,16,0.49,2029632.636492795,TS1
ee5a6d3f-66c3-426e-b1ae-41875cd4880c,17,0.50,2017349.203147065,TS1
3bf96972-de8e-40ef-b0ba-5acab2b3b503,17,0.50,2017349.203147065,BSA
4ea1a847-823e-45e5-af6f-9bfb8fdb0160,16,0.49,2021427.1275520518,TSB
9ee1203d-29d2-40a5-9d19-9ab82d2d398b,16,0.50,2014098.6908358512,TSC
3514ead2-98ff-4655-a0f6-c3fa8ca05362,16,0.50,2003606.491685033,TS2
70c53929-7902-487f-8fa5-8b04bc577a4c,16,0.50,2014098.6908358512,TSA
b89998b9-97ac-4d1c-bb98-798f0566bc97,16,0.50,1984126.9841269844,TS2
